id,fileName,avgCghSetSize,avgChurn,avgLoc,cghSetSize,churn,locAdded,maxCghSetSize,maxChurn,maxLoc,bug
2,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/FooRecord.java,1.0,14.0,15.0,2,14.0,15,2.0,14,15,no
2,src/test/java/org/apache/avro/GenerateBlockingData.java,1.0,85.0,85.0,1,85.0,85,1.0,85,85,no
2,src/test/java/org/apache/avro/TestProtocolSpecific.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestBlockingIO.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestResolvingIO.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/SchemaParseException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestFsData.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/ProtocolTask.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SchemaTask.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/JsonEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/parsing/Parser.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/parsing/Symbol.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/RPCPlugin.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/ParsingEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,1.0,17.0,17.0,2,17.0,17,2.0,17,17,no
2,src/java/org/apache/avro/io/BinaryData.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/generic/GenericArray.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/generic/GenericContainer.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificRecord.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/util/Utf8.java,1.0,3.5,6.0,2,7.0,12,2.0,7,12,no
2,src/java/org/apache/avro/io/BinaryDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/Decoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestBlockingIO2.java,1.0,163.0,163.0,1,163.0,163,1.0,163,163,no
2,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/file/SeekableInput.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/reflect/FixedSize.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,1.0,46.0,46.0,1,46.0,46,1.0,46,46,no
2,src/test/java/org/apache/avro/test/TestInvocationReporter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,1.0,-39.0,0.0,1,-39.0,0,1.0,-39,0,no
2,src/java/org/apache/avro/generic/GenericFixed.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/BinaryEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/DatumWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/ParsingDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/ResolvingDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/ValidatingDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/ValidatingEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/parsing/SkipParser.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/AvroRemoteException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/ParsingTable.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/ResolvingTable.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestParsingTable.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestResolvingTable.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/DatumReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
3,src/java/org/apache/avro/ipc/Requestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
3,src/java/org/apache/avro/ipc/Responder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
3,src/java/org/apache/avro/reflect/ReflectDatumReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
3,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
3,src/java/org/apache/avro/reflect/ReflectRequestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
3,src/java/org/apache/avro/reflect/ReflectResponder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
3,src/java/org/apache/avro/specific/SpecificDatumReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
