Dataset;TrainRelease;%Train;TrainDefective;TestDefective;getClassifier;Balancing;FeatureSelection;Tp;Fp;Tn;Fn;Precision;Recall;Roc;Kappa
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;No sampling;Best first;0.0;0.0;840.0;15.0;NaN;0.0;0.6698809523809524;0.0
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;No sampling;Best first;0.0;0.0;840.0;15.0;NaN;0.0;0.9623809523809523;0.0
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;Oversampling;Best first;15.0;74.0;766.0;0.0;0.16853932584269662;1.0;0.9676984126984127;0.2664347826086956
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;Oversampling;Best first;9.0;112.0;728.0;6.0;0.0743801652892562;0.6;0.8743650793650793;0.1043941411451402
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;Oversampling;Best first;15.0;74.0;766.0;0.0;0.16853932584269662;1.0;0.9676587301587302;0.2664347826086956
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;Undersampling;Best first;13.0;506.0;334.0;2.0;0.025048169556840076;0.8666666666666667;0.8471031746031746;0.015102040816326589
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;Undersampling;Best first;8.0;87.0;753.0;7.0;0.08421052631578947;0.5333333333333333;0.7541666666666667;0.11875000000000017
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;Undersampling;Best first;13.0;131.0;709.0;2.0;0.09027777777777778;0.8666666666666667;0.9101190476190476;0.1360683760683758
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;SMOTE;Best first;3.0;8.0;832.0;12.0;0.2727272727272727;0.2;0.9686507936507937;0.21917808219178112
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;SMOTE;Best first;0.0;0.0;840.0;15.0;NaN;0.0;0.6836111111111111;0.0
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;SMOTE;Best first;2.0;7.0;833.0;13.0;0.2222222222222222;0.13333333333333333;0.9686507936507937;0.1555555555555543
Bookkeeper;7;0.4999570778607606;198.0;4.0;RandomForest;No sampling;No selection;0.0;0.0;855.0;4.0;NaN;0.0;0.9355263157894737;0.0
Bookkeeper;7;0.4999570778607606;198.0;4.0;NaiveBayes;No sampling;No selection;0.0;0.0;855.0;4.0;NaN;0.0;0.4442982456140351;0.0
Bookkeeper;7;0.4999570778607606;198.0;4.0;Ibk;No sampling;No selection;0.0;0.0;855.0;4.0;NaN;0.0;0.9384502923976609;0.0
Bookkeeper;7;0.4999570778607606;198.0;4.0;RandomForest;Oversampling;No selection;4.0;25.0;830.0;0.0;0.13793103448275862;1.0;0.9849415204678362;0.23617286146185437
Bookkeeper;7;0.4999570778607606;198.0;4.0;NaiveBayes;Oversampling;No selection;0.0;26.0;829.0;4.0;0.0;0.0;0.7793859649122807;-0.008137078475864225
Bookkeeper;7;0.4999570778607606;198.0;4.0;Ibk;Oversampling;No selection;4.0;25.0;830.0;0.0;0.13793103448275862;1.0;0.9849415204678362;0.23617286146185437
Bookkeeper;7;0.4999570778607606;198.0;4.0;RandomForest;Undersampling;No selection;3.0;141.0;714.0;1.0;0.020833333333333332;0.75;0.9495614035087719;0.03176694713446592
